"name","medal_type","gender","country","event","isteam","url_event"
"ZHANG Yufei","Bronze Medal","Female","China","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"HARRIS Meg","Gold Medal","Female","Australia","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"JACK Shayna","Gold Medal","Female","Australia","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"O'CALLAGHAN Mollie","Gold Medal","Female","Australia","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"WUNSCH Olivia","Gold Medal","Female","Australia","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"CAMPBELL Bronte","Gold Medal","Female","Australia","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"McKEON Emma","Gold Medal","Female","Australia","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"DOUGLASS Kate","Silver Medal","Female","United States","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"CONNOLLY Erika","Silver Medal","Female","United States","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"HUSKE Torri","Silver Medal","Female","United States","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"WALSH Gretchen","Silver Medal","Female","United States","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"MANUEL Simone","Silver Medal","Female","United States","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"WEITZEIL Abbey","Silver Medal","Female","United States","Women's 4 x 100m Freestyle Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--"
"ZHANG Yufei","Bronze Medal","Female","China","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"WU Qingfeng","Bronze Medal","Female","China","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"WANG Xueer","Bronze Medal","Female","China","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"TANG Qianting","Bronze Medal","Female","China","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"YU Yiting","Bronze Medal","Female","China","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"WAN Letian","Bronze Medal","Female","China","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"YANG Junxuan","Bronze Medal","Female","China","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"DOUGLASS Kate","Gold Medal","Female","United States","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"HUSKE Torri","Gold Medal","Female","United States","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"KING Lilly","Gold Medal","Female","United States","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"SMITH Regan","Gold Medal","Female","United States","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"WALSH Gretchen","Gold Medal","Female","United States","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"WEBER Emma","Gold Medal","Female","United States","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"BERKOFF Katharine","Gold Medal","Female","United States","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"SHACKELL Alex","Gold Medal","Female","United States","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"O'CALLAGHAN Mollie","Silver Medal","Female","Australia","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"ANDERSON Iona","Silver Medal","Female","Australia","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"RAMSAY Ella","Silver Medal","Female","Australia","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"PERKINS Alexandria","Silver Medal","Female","Australia","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"HARRIS Meg","Silver Medal","Female","Australia","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"McKEON Emma","Silver Medal","Female","Australia","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"McKEOWN Kaylee","Silver Medal","Female","Australia","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"STRAUCH Jenna","Silver Medal","Female","Australia","Women's 4 x 100m Medley Relay",True,"/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--"
"MAYER Lisa","Bronze Medal","Female","Germany","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"LUECKENKEMPER Gina","Bronze Medal","Female","Germany","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"JUNK Sophia","Bronze Medal","Female","Germany","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"HAASE Rebekka","Bronze Medal","Female","Germany","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"BURGHARDT Alexandra","Bronze Medal","Female","Germany","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"HOBBS Aleia","Gold Medal","Female","United States","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"JEFFERSON Melissa","Gold Medal","Female","United States","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"THOMAS Gabrielle","Gold Medal","Female","United States","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"TERRY Twanisha","Gold Medal","Female","United States","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"RICHARDSON Sha'carri","Gold Medal","Female","United States","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"DAVIS Tamari","Gold Medal","Female","United States","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
"WILLIAMS Bianca","Silver Medal","Female","Great Britain","Women's 4 x 100m Relay",True,"/en/paris-2024/results/athletics/women-s-4-x-100m-relay/fnl-000100--"
